id;lat;lon;description;format
MGM-CAM-006G;32.363948;-86.21324;I-85 / E Blvd / US231;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-006G.jpg']
MGM-CAM-008A;32.362193999999995;-86.190776;I-85 / MP8 (Bell Rd);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-008A.jpg']
MGM-CAM-009A;32.360279999999996;-86.17083199999999;I-85 / EXIT 9 (Taylor Rd ramp);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-009A.jpg']
MGM-CAM-009B;32.363056;-86.17138399999999;I-85 / Taylor Rd SR271;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-009B.jpg']
MGM-CAM-009C;32.36259;-86.165832;I-85 / EXIT 9 (Taylor Rd SR271);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-009C.jpg']
MGM-CAM-163A;32.2575;-86.36111199999999;I-65 / MP163;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-163A.jpg']
MGM-CAM-163B;32.265556;-86.35472;I-65 / EXIT 164 (US31);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-163B.jpg']
MGM-CAM-164A;32.278;-86.347;I-65 / MP165 (Hyundai);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-164A.jpg']
MGM-CAM-165A;32.291942;-86.33972;I-65 / MP166 (Coca Cola);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-165A.jpg']
MGM-CAM-166A;32.306388;-86.337216;I-65 / Southlawn Dr (M);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-166A.jpg']
MGM-CAM-167A;32.311668;-86.337216;I-65 / EXIT 167 (US80);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-167A.jpg']
MGM-CAM-168A;32.324444;-86.335;I-65 / EXIT 168 (US82-S. Blvd) M;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-168A.jpg']
MGM-CAM-168B;32.336556;-86.331368;I-65 / MP169 (Westgate Park);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-168B.jpg']
MGM-CAM-169A;32.34861;-86.321112;I-65 / EXIT 170 (Fairview Ave);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-169A.jpg']
MGM-CAM-170A;32.358612;-86.321392;I-65 / MP170 (Early St);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-170A.jpg']
MGM-CAM-171A;32.365834;-86.322216;I-65 / EXIT 171 (I-85);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-171A.jpg']
MGM-CAM-171C;32.37611;-86.321112;I-65 / EXIT 172 (Clay St);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-171C.jpg']
MGM-CAM-172A;32.389446;-86.32277599999999;I-65 / EXIT 173 (SR152 - N Blvd);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-172A.jpg']
MGM-CAM-173A;32.399443999999995;-86.334728;I-65 / MP 173;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-173A.jpg']
MGM-CAM-174A;32.403058;-86.339168;I-65 / MP 174;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-174A.jpg']
MGM-CAM-175A;32.416;-86.354;I-65 / EXIT 176 (SR 143);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-175A.jpg']
MGM-CAM-176A;32.424168;-86.363608;I-65 / MP 176;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-176A.jpg']
MGM-CAM-177A;32.436389999999996;-86.372496;I-65 / MP 177;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-177A.jpg']
MGM-CAM-178A;32.450554;-86.381672;I-65 / MP 178;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-178A.jpg']
MGM-CAM-178B;32.45972;-86.38722399999999;I-65 / EXIT 179 (US82 - Cobbs Ford Rd);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-178B.jpg']
MGM-CAM-004F;32.358447999999996;-86.243704;I-85 / Perry Hill Rd/Vaughn;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-004F.jpg']
MGM-CAM-182D;32.509972;-86.42608;I-65 / MP183;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-182D.jpg']
MGM-CAM-182C;32.507751999999996;-86.422;I-65 / MP183;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-182C.jpg']
MGM-CAM-182B;32.500554;-86.41805599999999;I-65 / MP182;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-182B.jpg']
MGM-CAM-182A;32.500554;-86.41805599999999;I-65 / MP182;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-182A.jpg']
MGM-CAM-181A;32.48761;-86.410224;I-65 / EXIT 181 (SR14);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-181A.jpg']
MGM-CAM-180A;32.48236;-86.40472799999999;I-65 / MP181;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-180A.jpg']
MGM-CAM-180B;32.48236;-86.40472799999999;I-65 / MP181;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-180B.jpg']
MGM-CAM-186A;32.548942;-86.457832;I-65 / EXIT 186 (US31);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-186A.jpg']
MGM-CAM-179A;32.471402;-86.39561599999999;I-65 / MP179;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-179A.jpg']
MGM-CAM-179B;32.471402;-86.39561599999999;I-65 / MP179;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-179B.jpg']
MGM-CAM-514A;32.454632;-86.20644;US 231 / Lower Wetumpka Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-514A.jpg']
MGM-CAM-515A;32.460632;-86.195072;US 231 / Redland Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-515A.jpg']
MGM-CAM-516A;32.469284;-86.189736;US 231 / Jasmine Hill Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-516A.jpg']
MGM-CAM-515C;32.460632;-86.195072;US 231 / Redland Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-515C.jpg']
MGM-CAM-515D;32.460632;-86.195072;US 231 / Redland Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-515D.jpg']
MGM-CAM-682C;32.460552;-86.394024;US 82 / Bass Pro Blvd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-682C.jpg']
MGM-CAM-178C;32.46074;-86.38884;I-65 / EXIT 179 (US82 - Cobbs Ford Rd);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-178C.jpg']
MGM-CAM-682A;32.460056;-86.402112;US 82 / Old Farm Ln;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-682A.jpg']
MGM-CAM-OFR-155A;32.467934;-86.40288;Old Farm Lane / Water Tower;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-OFR-155A.jpg']
MGM-CAM-OFR-155B;32.47493;-86.40272;Old Farm Lane / Rocky Mount Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-OFR-155B.jpg']
MGM-CAM-OFR-156A;32.479106;-86.40696;Old Farm Lane / PCA;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-OFR-156A.jpg']
MGM-CAM-614A;32.482299999999995;-86.420512;SR 14 / McQueen Smith Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-614A.jpg']
MGM-CAM-614C;32.484158;-86.41427999999999;SR 14 / Old Farm Ln;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-614C.jpg']
MGM-CAM-160A;32.230018;-86.385128;I-65 / MP160;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-160A.jpg']
MGM-CAM-188A;32.580506;-86.470816;I-65 / Co.Rd.40;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-188A.jpg']
MGM-CAM-185A;32.542766;-86.45007199999999;I-65 / Co.Rd.85;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-185A.jpg']
MGM-CAM-004E;32.360549999999996;-86.243792;I-85 / Perry Hill Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-004E.jpg']
MGM-CAM-682B;32.459548;-86.402256;US 82 / Old Farm Ln;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-682B.jpg']
MGM-CAM-682D;32.459674;-86.394352;US 82 / Bass Pro Blvd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-682D.jpg']
MGM-CAM-614B;32.482388;-86.419904;SR 14 / McQueen Smith Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-614B.jpg']
MGM-CAM-614D;32.484456;-86.414552;SR 14 / Old Farm Ln;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-614D.jpg']
MGM-CAM-514D;32.452636;-86.210928;US 231 / Lower Wetumpka Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-514D.jpg']
MGM-CAM-003C;32.366588;-86.268648;I-85 / MP 3.3(S) before Ann St;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-003C.jpg']
MGM-CAM-001A;32.366428;-86.29125599999999;I-85 / MP 2 (Hall St);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-001A.jpg']
MGM-CAM-001B;32.366004;-86.290616;I-85 / EXIT 2 (Forest Ave);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-001B.jpg']
MGM-CAM-003A;32.36552;-86.274776;I-85 / MP 3(N) before Ann St/DMS;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-003A.jpg']
MGM-CAM-002A;32.365262;-86.28475999999999;I-85 / Jackson Hosp (DMS);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-002A.jpg']
MGM-CAM-002C;32.364892;-86.281808;I-85 / Mulberry St ramps;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-002C.jpg']
MGM-CAM-005B;32.359981999999995;-86.23804;I-85 / MP 5(M) Perry Hill Rd ;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-005B.jpg']
MGM-CAM-004D;32.358788;-86.249488;I-85 / EXIT 4 (Perry Hill Rd) (M);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-004D.jpg']
MGM-CAM-003E;32.360668;-86.261144;I-85 / MP 3.66(N) past Ann St;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-003E.jpg']
MGM-CAM-003F;32.360734;-86.25821599999999;I-85 / MP 3.95(S) before Ann St;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-003F.jpg']
MGM-CAM-003D;32.366696;-86.269216;I-85 / EXIT 3 (Ann St);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-003D.jpg']
MGM-CAM-003B;32.365608;-86.273984;I-85 / EXIT 3 (Ann St);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-003B.jpg']
MGM-CAM-003G;32.3592;-86.256856;I-85 / MP 3.95(N) past Ann St;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-003G.jpg']
MGM-CAM-004A;32.35947;-86.253776;I-85 / MP 4.2(S) past Perry Hill Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-004A.jpg']
MGM-CAM-004B;32.358322;-86.25247999999999;I-85 / MP 4.2(N) before Perry Hill Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-004B.jpg']
MGM-CAM-005D;32.361613999999996;-86.233048;I-85 / MP 5.37(S) before Perry Hill Rd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-005D.jpg']
MGM-CAM-005E;32.361163999999995;-86.22912;I-85 / MP 5.53(N);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-005E.jpg']
MGM-CAM-005F;32.36261;-86.22783199999999;I-85 / MP 5.69(S);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-005F.jpg']
MGM-CAM-006A;32.361942;-86.22391999999999;I-85 / MP 5.99(N) before E Blvd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-006A.jpg']
MGM-CAM-006B;32.363502;-86.222016;I-85 / MP 5.99(S) past E Blvd;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-006B.jpg']
MGM-CAM-006C;32.362297999999996;-86.217136;I-85 / EXIT 6 (E Blvd N exit-Bell Rd);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-006C.jpg']
MGM-CAM-006D;32.362392;-86.217928;I-85 / (N) before E Blvd exit;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-006D.jpg']
MGM-CAM-006E;32.363749999999996;-86.21759999999999;I-85 / EXIT 6 (E Blvd SB entrance);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-006E.jpg']
MGM-CAM-006F;32.363914;-86.216928;I-85 / EXIT 6 (past E Blvd);['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-006F.jpg']
TRY-CAM-172.A;31.775793999999998;-85.931112;US 231 / Ind. Park Dr.;['http://inetc2c.dot.state.al.us/snapshots/TRY-CAM-172A.jpg']
TRY-CAM-172B;31.778931999999998;-85.940552;US 231 / WAL-Mart Lowes;['http://inetc2c.dot.state.al.us/snapshots/TRY-CAM-172B.jpg']
TRY-CAM- 171A;31.781122;-85.947504;US 231 / S. Franklin Dr.;['http://inetc2c.dot.state.al.us/snapshots/TRY-CAM-171A.jpg']
TRY-CAM-171B;31.781731999999998;-85.94972;US 231 / Days Inn;['http://inetc2c.dot.state.al.us/snapshots/TRY-CAM-171B.jpg']
TRY-CAM- 170;31.785861999999998;-85.96444799999999;US 231 / Elba Hwy.;['http://inetc2c.dot.state.al.us/snapshots/TRY-CAM-170.jpg']
TRY-CAM- 169A;31.788942;-85.971104;US 231 / Lynn Coach;['http://inetc2c.dot.state.al.us/snapshots/TRY-CAM-169A.jpg']
TRY-CAM-169B;31.792849999999998;-85.97777599999999;US 231 / S. 3 Notch St.;['http://inetc2c.dot.state.al.us/snapshots/TRY-CAM-169B.jpg']
TRY-CAM-168;31.802792;-85.98555999999999;US 231 / Walters St.;['http://inetc2c.dot.state.al.us/snapshots/TRY-CAM-168.jpg']
TRY-CAM-78A;31.807388;-85.988056;US 231 / Murphree St.;['http://inetc2c.dot.state.al.us/snapshots/TRY-CAM-78A.jpg']
TRY-CAM-78B;31.809586;-85.990248;US 231 / Motel 6;['http://inetc2c.dot.state.al.us/snapshots/TRY-CAM-78B.jpg']
TRY-CAM-60;31.772081999999997;-85.96056;AL 87 / Oak Park Dr.;['http://inetc2c.dot.state.al.us/snapshots/TRY-CAM-60.jpg']
MGM-CAM-010A;32.366161999999996;-86.14933599999999;I-85 / MP10;['http://inetc2c.dot.state.al.us/snapshots/MGM-CAM-010A.jpg']
MOB-CAM-C001;30.689999999999998;-88.041096;US 90/98 / US 90/98 at Bankhead/Gov;['http://inetc2c.dot.state.al.us/snapshots/MOB-CAM-C001.jpg']
MOB-CAM-C006;30.692805999999997;-88.031584;US 90/98 / Bankhead Tunnel;['http://inetc2c.dot.state.al.us/snapshots/MOB-CAM-C006.jpg']
MOB-CAM-C010;30.693199999999997;-88.030048;US 90/98 / US 90/98 at Bankhead Entrance EB;['http://inetc2c.dot.state.al.us/snapshots/MOB-CAM-C010.jpg']
CAM-C302;30.733662;-88.043488;US 90/98 / US 90/98 Cochrane Bridge Eastbound;['http://inetc2c.dot.state.al.us/snapshots/cam-c302.jpg']
